Fecha,Muelle,Placa,Evento,# Personal,Hora Inicio,Hora Final,Tipo de Carga,Tipo Vh,T.M,Cantidad,Causa,,
03/06/2026,2,WFC549,Cargue,3,10:08,11:40,Estibado canasta,Mula,20,446276,Alistamiento de Producto ,,
03/06/2026,1,EPW598,Cargue,3,10:28,11:08,Estibado canasta,Sencillo,22,38976,Alistamiento de Producto ,,
03/06/2026,2,NUZ370,Cargue,2,11:40,14:10,Estibado Canasta,Mula,41,423768,Falta de Producto,,
03/06/2026,3,XKG435,Cargue,2,11:45,13:05,Estibado suelto,Mula,30,86860,Falta de Producto,,
03/06/2026,1,TTW598,Cargue,2,14:10,15:00,Estibado Canasta,Sencillo,16,122132,Alistamiento de Producto ,,
03/06/2026,1,R33678,Cargue,3,16:01,19:34,Estibado Caja,Mula,33,169056,Alistamiento de Producto ,,
03/06/2026,2,SGL972,Cargue,4,16:35,18:27,Estibado Canasta,Sencillo,35,96060,Alistamiento de Producto ,,
04/06/2026,1,TTW598,Cargue,2,8:57,12:30,Estibado Canasta,Sencillo,55,69732,Falta de Producto,,
04/06/2026,2,XKG435,Descargue,3,11:31,14:22,Estibado Canasta,Mula,47,106156,Alistamiento de Producto ,,
04/06/2026,1,GQU521,Cargue,3,15:16,23:04,Estibado Caja,Doble troque,160,175152,Falta de Producto,,
04/06/2026,2,WFC608,Cargue,3,15:32,18:36,Estibado canasta,Mula,145,240960,Falta de Producto,,
05/06/2026,1,TTW598,Cargue,2,8:35,11:30,Estibado canasta y estibado suelto,Sencillo,35,69732,Alistamiento de Producto ,,
05/06/2026,2,XKG435,Cargue,3,9:48,11:25,a piso cajas y estibado,Sencillo,23,156440,Falta de Producto,,
05/06/2026,1,LAI817,Cargue,3,11:50,13:02,Estibado suelto,Sencillo,17,50000,Alistamiento de Producto ,,
05/06/2026,2,WFC660,Cargue,4,11:53,13:41,Estibado canasta,Doble troque,30,112681,Alistamiento de Producto ,,
05/06/2026,1,WFC745,Cargue,3,14:23,21:15,Estibado canasta,Mula,46,370076,Falta de Producto,,
05/06/2026,3,LPL882,Cargue,2,14:40,17:45,Estibado canasta,Sencillo,34,116016,Falta de Producto,,
05/06/2026,2,WFC571,Cargue,2,14:55,19;40,Estibado casa,Doble troque,74,195576,Alistamiento de Producto ,,
09/06/2026,1,TTW598,Cargue,2,7:50,9:25,Estibado canasta,Sencillo,20,84364,Alistamiento de Producto ,,
09/06/2026,1,LAI817,Cargue,2,11:00,11:38,Estibado canasta y Estibado canasta,Sencillo,3,14730,Alistamiento de Producto ,,
09/06/2026,1,NUZ374,Cargue,3,11:43,15:59,Estibado canasta,Mula,120,463632,Alistamiento de Producto ,,
09/06/2026,2,WOK912,Cargue,3,11:50,12:55,Estibado canasta,Doble troque,28,86496,Alistamiento de Producto ,,
09/06/2026,2,ZIO992,Cargue,2,13:05,14:34,Estibado canasta,Sencillo,25,115296,Personal encargado,,
09/06/2026,2,LAI817,Devolucion,3,14:45,14:56,Devolucion,Sencillo,3,14730,Alistamiento de Producto ,,
09/06/2026,1,TTW662,Cargue,3,16:01,17:57,Estibado Canasta,Doble Troque,14,145981,Alistamiento de Producto ,,
09/06/2026,2,LMP302,Cargue,2,16:02,17:19,Estibado Canasta,Sencillo,11,72816,Alistamiento de Producto ,,
10/06/2026,2,TTW598,Cargue,2,7:25,11:00,Estibado Canasta,Sencillo,80,117388,Falta de Producto,,
10/06/2026,2,TTW662,Cargue,3,11:48,14:51,Estibado Canasta,Doble Troque,45,190176,Espera Vehiculo,,
10/06/2026,1,TTW502,Cargue,3,12:02,14:49,Estibado Canasta,Doble Troque,20,105792,Alistamiento de Producto ,,
10/06/2026,1,JHJ808,Cargue,3,15:01,16:11,Estibado Canasta,Doble Troque,25,115304,Falta de Producto,,
10/06/2026,3,TTW598,Cargue,3,15:26,17:40,Estibado Caja,Sencillo,78,117388,Falta de Producto,,
10/06/2026,2,LPM407, Cargue,4,15:35,18:05,Estibado Canasta y Estibado Caja,Doble Troque,120,113736,Falta de Producto,,
11/06/2026,2,GQU521,Cargue,3,10:35,17:45,Estibado Canasta y Estibado Caja,Mula,246,343536,Espera en Documento ,,
11/06/2026,1,WFC549,Cargue,2,10:41,15:58,Estibado Canasta y Estibado Caja,Mula,200,420468,Falta de Producto,,
11/06/2026,3,WOM240,Cargue,2,15:20,18:02,Estibado Canasta,Sencillo,127,113760,Falta de Producto,,
12/06/2026,1,TTW598,Cargue,2,9:05,11:20,Estibado Canasta,Sencillo,45,71256,Alistamiento de Producto ,,
12/06/2026,1,WFC576,Cargue,3,12:05,15:30,Estibado Canasta y Canasta suelta,Doble Troque,60,157200,Personal encargado,,
12/06/2026,3,TTW598,Cargue,3,14:48,16:45,Estibado canasta,Sencillo,93,43320,Espera Vehiculo,,
12/06/2026,2,XKG435,Cargue,3,14:51,16:19,Estibado cajas,Mula,15,86700,Alistamiento de Producto ,,
16/06/2026,3,XKG435,Cargue,2,9:00,12:30,Estibado suelltos,Sencillo,68,86700,Falta de Producto,,
16/06/2026,2,LAI817,Cargue,2,10:04,11:50,Estibado canasta y suelto,Sencillo,15,51750,Alistamiento de Producto ,,
16/06/2026,1,TTW598,Cargue,2,11:22,14:09,Estibado Canasta,Sencillo,45,99390,Alistamiento de Producto ,,
16/06/2026,2,SYQ910,Cargue,3,15:23,16:30,Estibado canastas,Sencillo,15,115200,Alistamiento de Producto ,,
16/06/2026,1,WNY371,Cargue,3,15:38,17:13,Estibado canasta,Sencillo,24,115200,Alistamiento de Producto ,,
17/06/2026,1,TTW598,Cargue,3,8:30,2:30,Estibado canasta y caja,Sencillo,127,51476,Falta de Producto,,
17/06/2026,1,NUZ370,Cargue,2,11:40,16:40,Estibado canasta,Mula,49,395580,Falta de Producto,,
17/06/2026,2,WFG745,Cargue,2,13:57,20:01,Estibado canasta,Mula,235,431112,Falta de Producto,,
17/06/2026,3,SUD993,Cargue,3,14:34,15:20,Estibado cajas,Doble Troque,10,14460,Alistamiento de Producto ,,
17/06/2026,3,XKG435,Cargue,3,15:49,16:29,Estibado suelto,Mula,13,86700,Alistamiento de Producto ,,
17/06/2026,1,GQU521,Cargue,3,16:18,21:32,Estibado canasta,Mula,108,299460,Alistamiento de Producto ,,
17/06/2026,2,PRY549,Cargue,3,16:32,18:18,Estibado canasta,Doble Troque,30,90816,Falta de Producto,,
18/06/2026,2,TTW598,Cargue,3,9:12,10:45,Estibado canasta y caja,Sencillo,12,34920,Alistamiento de Producto ,,
18/06/2026,1,GQU663,Cargue,3,11:46,17:20,Estibado cajas,Mula,57,222720,Falta de Producto,,
18/06/2026,2,NUZ374,Cargue,3,12:03,14:05,Estibado canasta,Mula,36,413040,Alistamiento de Producto ,,
18/06/2026,3,LVY319,Cargue,3,14:45,16:15,Estibado canasta,Sencillo,25,84240,Alistamiento de Producto ,,
19/06/2026,2,LAI817,Cargue,3,10:20,11:01,Estibado canasta y suelto,Sencillo,10,26520,Alistamiento de Producto ,,
19/06/2026,1,XKG435,Cargue,3,11:29,12:30,Estibado canasta,Mula,14,86700,Alistamiento de Producto ,,
19/06/2026,2,SRF460,Cargue,3,14:53,16:07,Estibado canasta,Sencillo,34,109440,Alistamiento de Producto ,,
22/06/2026,1,TTW598,Cargue,3,8:00,11:15,Estibado canasta y caja,Sencillo,34,78048,Otro,,
22/06/2026,3,XKG435,Cargue,3,13:48,16:40,Estibado suelto,Mula,46,84540,Falta de Producto,,
22/06/2026,1,ZIO992,Cargue,3,14:50,16:25,Estibado canasta,Sencillo,24,115200,Alistamiento de Producto ,,
22/06/2026,2,SAK103,Cargue,3,15:20,16:29,A piso suelto,Sencillo,12,12960,Alistamiento de Producto ,,
22/06/2026,1,SNK461,Cargue,3,16:15,18:00,Estibado canasta,Sencillo,23,115200,Alistamiento de Producto ,,
22/06/2026,2,WFC659,Cargue,3,16:35,17:32,Estibado canasta,Doble Troque,11,102000,Alistamiento de Producto ,,
23/06/2026,3,LPM607,Cargue,3,10:02,11:34,Estibado caja y suelto,Sencillo,14,14970,Alistamiento de Producto ,,
23/06/2026,2,TMY770,Cargue,3,14:26,15:32,Estibado canasta,Sencillo,8,120906,Espera Documento,,
23/06/2026,1,SNN335,Cargue,3,15:10,16:55,Estibado canasta,Sencillo,27,99240,Alistamiento de Producto ,,
23/06/2026,3,XKG435,Cargue,3,16:15,18:57,Estibado canasta,Mula,17,86700,Alistamiento de Producto ,,
23/06/2026,2,VDA699,Cargue,,16:43,17:27,Estibado canasta,Sencillo,,115200,Alistamiento de Producto ,,
24/06/2026,,GQU521,,,8:30,,,Mula,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,__,__
,,,,,,,,,,,,| ⌣,⌣  |
,,,,,,,,,,,,﹂,﹂
,,,,,,,,,,,,⌣⌣| ,|⌣⌣
,,,,,,,,,,,,⌣| ,|⌣
,,,,,,,,,,,,⌣| ,|⌣
,,,,,,,,,,,,Ѯ,Ѯ
,,,,,,,,,,,,Ѯ,Ѯ
,,,,,,,,,,,,↯,↯
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
